M
                     Sri Annamalaiyar Pattasu Kadai
                       No 5A, RAILWAY STATION ROAD
                          METTUPALAYAM - 641301
                    CELL NO - 98437 44144, 93449 22273

                  Retail Sales Period Wise Report Details
Report for the date from 14/10/2017 to 14/10/2017
--------------------------------------------------------------------------------
Bill No  ICode  Item Name               Item Type  Item Rate  Quantity   Total Amt
15       46     24 ROCK FIGHT DELUXE    BOXES          75.00      5.00      375.00
15       113    DIANA 35 ITEM           BOXES         870.00      5.00     4350.00
16       49     56 GAINT                BOXES          70.00      2.00      140.00
16       58     BIG LAXMI               BOXES          35.00      2.00       70.00
16       46     24 ROCK FIGHT DELUXE    BOXES          75.00      2.00      150.00
18       60     TWO SOUND CRACKER       BOXES          35.00      1.00       35.00
18       47     56 WALA CHORSA GARLAND  BOXES          55.00      1.00       55.00
18       56     BIRD                    BOXES          15.00      2.00       30.00
18       21     FLOWER POT SPECIAL 10   BOXES         140.00      1.00      140.00
18       45     RED BIJILI              BOXES          60.00     10.00      600.00
18       30     COLOUR CHANGING WHEEL   BOXES         160.00      1.00      160.00
18       7      15CM CRACKLING SPARKLE  BOXES          65.00      2.00      130.00
18       58     BIG LAXMI               BOXES          35.00      2.00       70.00
19       116    FLAIR                   BOXES          80.00      1.00       80.00
19       7      15CM CRACKLING SPARKLE  BOXES          65.00      1.00       65.00
19       103    ROLL CAP                BOXES          60.00      1.00       60.00
20       114    EXECUTIVE 40 ITEMS      BOXES        1000.00      2.00     2000.00
21       26     GROUND CHAKRA SPECIAL   BOXES          90.00      1.00       90.00
21       11     30CM ELECTRIC SPARKLER  BOXES          58.00      4.00      232.00
21       23     FLOWER POT ASHOK 10PCS  BOXES         200.00      1.00      200.00
22       25     GROUND CHAKRA BIG 25PC  BOXES          80.00      1.00       80.00
22       17     FLOWER POT SMALL 10PCS  BOXES          70.00      1.00       70.00
22       45     RED BIJILI              BOXES          60.00      2.00      120.00
22       104    SNAKE TABLET            BOXES          40.00      1.00       40.00
23       111    ANGEL 22 ITEMS          BOXES         490.00      1.00      490.00
24       103    ROLL CAP                BOXES          60.00      2.00      120.00
24       121    BLACK                   BOXES          70.00      1.00       70.00
24       119    MARSHAL                 BOXES          65.00      1.00       65.00
25       104    SNAKE TABLET            BOXES          40.00      2.00       80.00
25       107    MAJESTIC 5IN 1          BOXES          85.00      1.00       85.00
25       2      10CM ELECTRIC SPARKLER  BOXES          30.00      5.00      150.00
