M
                Rotary Club of Mettupalayam

Current Stock as on 21/10/2016               Time: 10:17:28 PM
--------------------------------------------------------------
Item Code  Item Name                       Item Type  Quantity
114        ARABIAN DELIGHT 240 SHOT        Boxes       5000.00
115        FESTIVA SPECIAL 50 SHOT         Boxes       5000.00
116        DHADKAN                         Boxes       5000.00
117        RANG O RANG 60 SHOT             Boxes       5000.00
118        ALPHA GREEN CRACKLING           Boxes       5000.00
119        OMEGA RED CRACKLING             Boxes       5000.00
120        MAGIC MISTERY                   Boxes       5000.00
121        MIN MINI                        Boxes       5000.00
122        PIKACHU                         Boxes       5000.00
123        WHITE ROSES 2 PICES             Boxes       5000.00
124        CLOWN TOWN 2 PICES              Boxes       5000.00
125        GLADIATOR 2 PICES               Boxes       5000.00
126        ELECTRIC BLUE 2 PICES           Boxes       5000.00
127        GOLDEN MOON                     Boxes       5000.00
128        GREEN ECLIPSE                   Boxes       5000.00
129        GLADIATOR                       Boxes       5000.00
130        CLOWN TOWN                      Boxes       5000.00
131        WHITE ROSE                      Boxes       5000.00
132        ENIGMA                          Boxes       5000.00
133        TROPNICANA                      Boxes       5000.00
134        SILK SHOW                       Boxes       5000.00
135        RIMZIM                          Boxes       5000.00
136        SKY DIVERS                      Boxes       5000.00
137        BLUE BIRDS                      Boxes       5000.00
138        BLUE BLOOM                      Boxes       5000.00
139        AYYANS PINK                     Boxes       5000.00
140        GREEN BLINK                     Boxes       5000.00
141        AKASH THORAN                    Boxes       5000.00
142        GIFT BOX JUNIOR PACK            Boxes       5000.00
143        GIFT BOX A                      Boxes       5000.00
144        GIFT BOX B                      Boxes       5000.00
145        GIFT BOX DINO                   Boxes       5000.00
146        BUNNY BRAND PAPER CAPS ROLL     Boxes       5000.00
147        CAMAL POPS 5 COLOUR             Boxes       5000.00
148        CAMEL RAINBOW 5 COLOUR          Boxes       5000.00
149        CRUSER GUN                      Boxes       5000.00
150        KANDO GUN                       Boxes       5000.00


                Rotary Club of Mettupalayam

Current Stock as on 21/10/2016                             Time: 10:17:28 PM
--------------------------------------------------------------
Item Code  Item Name                       Item Type  Quantity
--------------------------------------------------------------
151        FLEET GUN                       Boxes       5000.00
152        BADHI                           Boxes       5000.00
--------------------------------------------------------------
                                               Total:  759996.00
--------------------------------------------------------------
